epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.8954,2.44107,5.20303,0.00359,0.43285,0.02363,0.01294,0.00823,2.23879,3.50891,0.00288,0.000331597,0.000331597,0.0671719
2,118.495,2.24135,3.1592,0.00309,0.61047,0.04539,0.0496,0.03609,2.14918,2.96993,0.00259,0.000664768,0.000664768,0.0341717
3,167.776,2.18061,2.87796,0.00293,0.69075,0.04634,0.07295,0.05177,2.15182,2.67274,0.00281,0.000997289,0.000997289,0.0011709
4,216.879,2.1736,2.67052,0.00291,0.52811,0.0689,0.07833,0.05493,2.17958,2.69314,0.00272,0.000997803,0.000997803,0.000997803
5,266.229,2.14595,2.55536,0.00281,0.63803,0.07585,0.09695,0.06844,2.16613,2.57298,0.00274,0.000996097,0.000996097,0.000996097
6,315.498,2.11732,2.46595,0.00279,0.63121,0.06764,0.09413,0.0663,2.0595,2.52076,0.0026,0.000993906,0.000993906,0.000993906
7,364.58,2.09438,2.37238,0.00275,0.49256,0.09955,0.1093,0.07767,2.09881,2.53679,0.00258,0.000991232,0.000991232,0.000991232
8,414.696,2.10573,2.37461,0.00268,0.5438,0.10642,0.1232,0.0883,2.09365,2.41938,0.00251,0.000988079,0.000988079,0.000988079
9,464.504,2.05801,2.2482,0.00267,0.51096,0.11675,0.11928,0.08584,1.98907,2.44359,0.00244,0.000984449,0.000984449,0.000984449
10,513.69,2.06989,2.22831,0.00263,0.64091,0.08612,0.11504,0.08147,2.06555,2.45325,0.00253,0.000980345,0.000980345,0.000980345
11,562.79,2.04554,2.16404,0.00256,0.51217,0.11799,0.13244,0.0916,2.03869,2.38802,0.00249,0.000975773,0.000975773,0.000975773
12,611.979,2.05259,2.14148,0.00259,0.47258,0.12436,0.13752,0.09742,2.02028,2.42231,0.00248,0.000970736,0.000970736,0.000970736
13,660.983,2.01472,2.07864,0.00251,0.41942,0.13314,0.13391,0.09608,2.04704,2.45135,0.00255,0.000965239,0.000965239,0.000965239
14,709.919,2.05478,2.10509,0.00255,0.53207,0.11052,0.12585,0.09254,2.00902,2.42544,0.00246,0.000959289,0.000959289,0.000959289
15,759.641,2.00854,2.01642,0.00247,0.4243,0.12389,0.13124,0.09154,2.03155,2.41455,0.00245,0.000952889,0.000952889,0.000952889
16,809.666,2.01861,1.97479,0.00242,0.42401,0.14376,0.14057,0.1007,2.00538,2.3992,0.00237,0.000946048,0.000946048,0.000946048
17,859.295,1.979,1.9328,0.00244,0.52049,0.10772,0.12707,0.09169,1.99684,2.48898,0.00237,0.000938772,0.000938772,0.000938772
18,908.657,1.98352,1.9069,0.00243,0.55006,0.10116,0.12642,0.09192,2.00979,2.47357,0.00241,0.000931067,0.000931067,0.000931067
19,957.805,1.96201,1.87399,0.00237,0.44356,0.12455,0.13622,0.0978,1.98059,2.40424,0.00236,0.000922942,0.000922942,0.000922942
20,1007.11,1.97432,1.84928,0.00237,0.47681,0.12983,0.14469,0.10386,1.99901,2.44439,0.00233,0.000914405,0.000914405,0.000914405
21,1056.27,1.95044,1.83134,0.00231,0.3816,0.12802,0.13383,0.09375,2.00368,2.41377,0.00235,0.000905463,0.000905463,0.000905463
22,1105.66,1.95222,1.81014,0.00232,0.44055,0.11792,0.13941,0.10046,2.00285,2.4806,0.00238,0.000896127,0.000896127,0.000896127
23,1155.68,1.94328,1.76601,0.00228,0.33029,0.13688,0.12597,0.09023,2.02106,2.46207,0.00242,0.000886404,0.000886404,0.000886404
24,1205.46,1.94805,1.73703,0.00228,0.46638,0.13038,0.13501,0.09606,2.0521,2.45179,0.00242,0.000876305,0.000876305,0.000876305
25,1254.92,1.94479,1.74302,0.00228,0.50224,0.11078,0.12043,0.08437,2.02064,2.49625,0.00237,0.000865839,0.000865839,0.000865839
26,1303.99,1.93777,1.68164,0.00225,0.5351,0.11474,0.123,0.08712,2.01397,2.51079,0.00235,0.000855018,0.000855018,0.000855018
27,1353.28,1.90893,1.67936,0.00221,0.45449,0.08929,0.1224,0.08839,2.06253,2.51954,0.00248,0.000843851,0.000843851,0.000843851
28,1402.41,1.91893,1.64667,0.00219,0.3689,0.12009,0.1244,0.08856,2.00553,2.48364,0.00232,0.000832349,0.000832349,0.000832349
29,1451.61,1.90219,1.64577,0.00221,0.41624,0.12266,0.12859,0.0909,2.01913,2.50087,0.00237,0.000820525,0.000820525,0.000820525
30,1501.63,1.91042,1.60868,0.00219,0.53518,0.11832,0.13329,0.0938,2.01151,2.50853,0.00234,0.000808389,0.000808389,0.000808389
31,1551.46,1.89935,1.58341,0.00214,0.46536,0.11921,0.12545,0.08794,2.00002,2.5267,0.00226,0.000795954,0.000795954,0.000795954
32,1600.75,1.91318,1.58693,0.00217,0.52371,0.11417,0.12607,0.09072,1.96212,2.52128,0.0023,0.000783231,0.000783231,0.000783231
33,1649.87,1.89503,1.54129,0.00213,0.40002,0.12588,0.12358,0.08502,1.98143,2.50373,0.00232,0.000770234,0.000770234,0.000770234
34,1699.18,1.84019,1.4939,0.00211,0.3712,0.1073,0.1119,0.08107,1.99876,2.58514,0.00233,0.000756976,0.000756976,0.000756976
35,1748.34,1.85274,1.49615,0.0021,0.40907,0.11701,0.14271,0.1025,1.95969,2.54198,0.00229,0.000743468,0.000743468,0.000743468
36,1797.35,1.84541,1.48487,0.00209,0.53099,0.11099,0.14269,0.10185,1.97472,2.50499,0.00228,0.000729725,0.000729725,0.000729725
37,1847.27,1.83855,1.46507,0.00207,0.48423,0.10225,0.13336,0.09654,1.95673,2.50709,0.00225,0.000715761,0.000715761,0.000715761
38,1897.29,1.82793,1.42722,0.00205,0.39037,0.11358,0.12031,0.08758,1.9493,2.58843,0.0023,0.000701588,0.000701588,0.000701588
39,1946.72,1.83679,1.42457,0.00206,0.49604,0.11499,0.12533,0.09257,1.9661,2.50913,0.00228,0.000687222,0.000687222,0.000687222
40,1995.9,1.82204,1.38886,0.00198,0.50164,0.10022,0.11646,0.0857,1.96151,2.62831,0.00224,0.000672675,0.000672675,0.000672675
