epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,55.3249,1.27857,0.78419,0.96192,0.79451,0.000332991,0.000332991,0.0670339
2,122.336,0.65671,0.85026,0.99019,0.48581,0.000666161,0.000666161,0.0340338
3,175.501,0.49757,0.87305,0.99827,0.38134,0.000998681,0.000998681,0.00103294
4,234.847,0.40869,0.91806,0.99971,0.24303,0.000997803,0.000997803,0.000997803
5,297.943,0.32784,0.9423,0.99971,0.16403,0.000996097,0.000996097,0.000996097
6,353.035,0.28348,0.95615,1,0.14073,0.000993906,0.000993906,0.000993906
7,410.667,0.24714,0.95672,1,0.13218,0.000991232,0.000991232,0.000991232
8,471.832,0.23085,0.95817,1,0.11699,0.000988079,0.000988079,0.000988079
9,526.838,0.21655,0.96105,1,0.11087,0.000984449,0.000984449,0.000984449
10,586.102,0.1968,0.97173,0.99971,0.08514,0.000980345,0.000980345,0.000980345
11,648.833,0.19403,0.97057,0.99971,0.08508,0.000975773,0.000975773,0.000975773
12,702.802,0.17053,0.97894,1,0.06645,0.000970736,0.000970736,0.000970736
13,764.606,0.16591,0.98096,0.99971,0.05258,0.000965239,0.000965239,0.000965239
14,824.838,0.15705,0.98413,1,0.05053,0.000959289,0.000959289,0.000959289
15,876.748,0.15173,0.98298,1,0.04891,0.000952889,0.000952889,0.000952889
16,932.169,0.14729,0.98846,1,0.04285,0.000946048,0.000946048,0.000946048
17,995.471,0.13802,0.98788,1,0.03824,0.000938772,0.000938772,0.000938772
18,1047.75,0.11864,0.99048,1,0.0327,0.000931067,0.000931067,0.000931067
19,1105.33,0.11939,0.99134,1,0.0275,0.000922942,0.000922942,0.000922942
20,1166.88,0.11466,0.99134,1,0.02674,0.000914405,0.000914405,0.000914405
21,1225.72,0.10843,0.99308,1,0.02335,0.000905463,0.000905463,0.000905463
22,1289.57,0.10488,0.99423,1,0.02168,0.000896127,0.000896127,0.000896127
23,1356.37,0.09869,0.99336,1,0.01994,0.000886404,0.000886404,0.000886404
24,1419.27,0.1031,0.99365,1,0.02086,0.000876305,0.000876305,0.000876305
25,1467.4,0.08611,0.99452,1,0.01901,0.000865839,0.000865839,0.000865839
26,1521.25,0.09181,0.99683,1,0.01496,0.000855018,0.000855018,0.000855018
27,1581.74,0.09456,0.99625,1,0.01463,0.000843851,0.000843851,0.000843851
28,1640.71,0.08795,0.99625,1,0.01287,0.000832349,0.000832349,0.000832349
29,1696.36,0.06905,0.9974,1,0.01095,0.000820525,0.000820525,0.000820525
30,1759.4,0.07891,0.9974,1,0.01049,0.000808389,0.000808389,0.000808389
31,1811.14,0.07851,0.99711,1,0.01062,0.000795954,0.000795954,0.000795954
32,1869.92,0.07333,0.99827,1,0.01036,0.000783231,0.000783231,0.000783231
33,1929.94,0.06538,0.99827,1,0.00979,0.000770234,0.000770234,0.000770234
34,1992.08,0.06474,0.99856,1,0.00942,0.000756976,0.000756976,0.000756976
35,2053.4,0.06124,0.99856,1,0.00887,0.000743468,0.000743468,0.000743468
36,2117.95,0.06354,0.99856,1,0.00849,0.000729725,0.000729725,0.000729725
37,2177.9,0.05958,0.99827,1,0.00854,0.000715761,0.000715761,0.000715761
38,2237.78,0.05592,0.99798,1,0.00801,0.000701588,0.000701588,0.000701588
39,2301.45,0.05193,0.99798,1,0.00766,0.000687222,0.000687222,0.000687222
40,2365.5,0.05103,0.99856,1,0.00735,0.000672675,0.000672675,0.000672675
41,2424.22,0.04897,0.99856,1,0.00718,0.000657963,0.000657963,0.000657963
42,2480.08,0.05,0.99827,1,0.0069,0.000643101,0.000643101,0.000643101
43,2542.17,0.04231,0.99827,1,0.00666,0.000628101,0.000628101,0.000628101
44,2604.57,0.04807,0.99856,1,0.00655,0.000612981,0.000612981,0.000612981
45,2663.18,0.04442,0.99856,1,0.00633,0.000597754,0.000597754,0.000597754
46,2726.73,0.03932,0.99885,1,0.00621,0.000582435,0.000582435,0.000582435
47,2782.62,0.04136,0.99885,1,0.00589,0.00056704,0.00056704,0.00056704
48,2842.48,0.0387,0.99913,1,0.00559,0.000551584,0.000551584,0.000551584
49,2905.85,0.04149,0.99913,1,0.00543,0.000536081,0.000536081,0.000536081
50,2962.57,0.03425,0.99913,1,0.00517,0.000520548,0.000520548,0.000520548
51,3019.06,0.03358,0.99913,1,0.00495,0.000505,0.000505,0.000505
52,3082.73,0.03096,0.99913,1,0.00483,0.000489452,0.000489452,0.000489452
53,3137.03,0.03224,0.99913,1,0.00481,0.000473919,0.000473919,0.000473919
54,3193.93,0.02968,0.99913,1,0.00476,0.000458416,0.000458416,0.000458416
55,3257.56,0.0337,0.99913,1,0.00454,0.00044296,0.00044296,0.00044296
56,3312.01,0.02789,0.99913,1,0.00553,0.000427565,0.000427565,0.000427565
