epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
57,3369.68,0.02567,0.99885,1,0.00457,0.000412246,0.000412246,0.000412246
58,3430.12,0.02291,0.99885,1,0.00385,0.000397019,0.000397019,0.000397019
59,3480.74,0.02241,0.99913,1,0.00353,0.000381899,0.000381899,0.000381899
60,3547.8,0.02261,0.99913,1,0.00327,0.000366899,0.000366899,0.000366899
61,3617.74,0.02622,0.99913,1,0.00309,0.000352037,0.000352037,0.000352037
62,3688.72,0.02409,0.99913,1,0.00288,0.000337325,0.000337325,0.000337325
63,3752.86,0.02073,0.99913,1,0.00279,0.000322778,0.000322778,0.000322778
64,3818.31,0.02048,0.99913,1,0.00258,0.000308412,0.000308412,0.000308412
65,3887.07,0.02125,0.99913,1,0.00252,0.000294239,0.000294239,0.000294239
66,3948.3,0.01927,0.99913,1,0.0024,0.000280275,0.000280275,0.000280275
67,4003.4,0.01687,0.99971,1,0.00229,0.000266532,0.000266532,0.000266532
68,4073.55,0.01646,0.99971,1,0.00221,0.000253024,0.000253024,0.000253024
69,4140.61,0.01477,0.99971,1,0.00214,0.000239766,0.000239766,0.000239766
70,4197.9,0.01804,0.99971,1,0.00206,0.000226769,0.000226769,0.000226769
71,4263.97,0.01523,0.99971,1,0.00195,0.000214046,0.000214046,0.000214046
72,4333.19,0.01154,0.99971,1,0.00184,0.000201611,0.000201611,0.000201611
73,4395.45,0.01435,0.99971,1,0.00176,0.000189475,0.000189475,0.000189475
74,4455.99,0.01284,0.99971,1,0.00169,0.000177651,0.000177651,0.000177651
75,4522.98,0.01313,0.99971,1,0.0016,0.000166149,0.000166149,0.000166149
76,4583.62,0.01212,0.99971,1,0.0015,0.000154982,0.000154982,0.000154982
77,4646.57,0.01167,0.99971,1,0.00142,0.000144161,0.000144161,0.000144161
78,4717.49,0.01218,0.99971,1,0.00135,0.000133695,0.000133695,0.000133695
79,4790.39,0.01216,0.99971,1,0.00126,0.000123596,0.000123596,0.000123596
80,4854.49,0.00972,0.99971,1,0.00119,0.000113873,0.000113873,0.000113873
81,4915.93,0.00952,0.99971,1,0.00113,0.000104537,0.000104537,0.000104537
82,4986.64,0.01049,0.99971,1,0.00105,9.55951e-05,9.55951e-05,9.55951e-05
83,5052.68,0.00859,0.99971,1,0.00098,8.70577e-05,8.70577e-05,8.70577e-05
84,5113.94,0.00906,0.99971,1,0.00244,7.89327e-05,7.89327e-05,7.89327e-05
85,5188.05,0.00836,0.99971,1,0.00086,7.12282e-05,7.12282e-05,7.12282e-05
86,5260.22,0.00899,0.99971,1,0.00083,6.39518e-05,6.39518e-05,6.39518e-05
87,5322.97,0.00793,0.99971,1,0.00078,5.71106e-05,5.71106e-05,5.71106e-05
