epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.571,2.23611,5.42956,0.00306,0.46816,0.02048,0.01299,0.00819,1.99998,3.3291,0.00243,0.000332898,0.000332898,0.0670431
2,436.87,2.06674,3.43735,0.00267,0.55203,0.03313,0.03548,0.02421,2.02858,3.08989,0.00257,0.000666191,0.000666191,0.034043
3,646.072,2.04142,3.15632,0.00255,0.57177,0.06444,0.05992,0.03998,1.98463,2.72712,0.00233,0.000999321,0.000999321,0.00104284
4,854.389,2.03443,2.92277,0.00254,0.55333,0.07364,0.08939,0.06006,1.97232,2.70002,0.00239,0.00099945,0.00099945,0.00099945
5,1064.48,1.99067,2.78444,0.00242,0.60602,0.10562,0.11006,0.07765,1.85613,2.58945,0.00213,0.000999023,0.000999023,0.000999023
6,1273.91,1.99762,2.68366,0.00249,0.59474,0.09516,0.11823,0.07788,1.99524,2.5052,0.00238,0.000998474,0.000998474,0.000998474
7,1478.91,1.91593,2.60434,0.00249,0.60135,0.09535,0.13057,0.09357,1.88791,2.58358,0.00214,0.000997803,0.000997803,0.000997803
8,1682.71,1.9342,2.54764,0.00241,0.59842,0.13331,0.14673,0.10753,1.89698,2.49354,0.0022,0.000997011,0.000997011,0.000997011
